name,level,school,ritual,casting_time,range,duration,cast_with,hue1,hue2,bright1,bright2,attack_type,saving_throw,availableWhen,onCasting,onCast,onPlayerAttacks,onPlayerHitsTarget,onDispel,die_str,ammo_count,bonus_threshold,bonus_per_level,bonus_type,bonus_max,description,higher_levels,components_material,components_somatic,components_verbal,components_materials_description,classes_0,classes_1,classes_2,classes_3,classes_4,classes_5,classes_6,tags_0,tags_1,tags_2,tags_3,tags_4,tags_5,tags_6,tags_7
Antilife Shell,5,abjuration,FALSE,1 action,Self (10-foot radius),"Concentration, up to 1 hour",,,,,,,,,,,,,,,1,,,,,"A shimmering barrier extends out from you in a **10-foot** radius and moves with you, remaining centered on you and hedging out creatures other than undead and constructs. The barrier lasts for the duration.

The barrier prevents an affected creature from passing or reaching through. An affected creature can cast spells or make attacks with ranged or reach weapons through the barrier.

If you move so an affected creature is forced to pass through the barrier, the spell ends.",,FALSE,TRUE,TRUE,,druid,,,,,,,druid,level5,,,,,,
Antimagic Field,8,abjuration,FALSE,1 action,Self (10-foot-radius sphere),"Concentration, up to 1 hour",,,,,,,,,,,,,,,1,,,,,"A **10-foot** radius **invisible** sphere of antimagic surrounds you. This area is divorced from the magical energy that suffuses the multiverse. Within the sphere, spells can't be cast, summoned creatures disappear, and even magic items become mundane. Until the spell ends, the sphere moves with you, centered on you.

Spells and other magical effects, except those created by an artifact or a deity, are suppressed in the sphere and can't protrude into it. A slot expended to cast a suppressed spell is consumed. While an effect is suppressed, it doesn't function, but the time is spends suppressed counts against its duration.

A magic weapon's properties and powers are suppressed if it is used against a target in the sphere or wielded by an attacker in the sphere. If a magic weapon or a piece of magic ammunition fully leaves the sphere (for example, if you fire a magic arrow or throw a magic spear at a target outside the sphere), the magic of the item ceases to be suppressed as soon as it exits.",,TRUE,TRUE,TRUE,a pinch of powdered iron or iron filings,cleric,wizard,,,,,,cleric,wizard,level8,,,,,
Antipathy/Sympathy,8,enchantment,FALSE,1 hour,60 feet,10 days,,,,,,,Wisdom,,,,,,,,1,,,,,"This spell attracts or repels creatures of your choice. You target something within range, either a **Huge** or smaller object or creature or an erea that is no larger than a 200-foot cube. Then specify a kind of intelligent creature such as red dragons, goblins or vampires. You invest the target with an aura that either attracts or repels the specified creatures for the duration. Choose antipathy or sympathy as the aura's effect.

If the target damages or otherwise harms an affected creature, the affected creature can make a **Wisdom** saving throw to end the effect, as described below.

A creature that successfully saves against this affect is immune to it for **1 minute**, after which time it can be affected again.",,TRUE,TRUE,TRUE,either a hump of alum soaked in vinegar for the **antipathy** effect or a drop of honey for the **sympathy** effect,druid,wizard,,,,,,druid,wizard,level8,,,,,
Arcane Eye,4,divination,FALSE,1 action,30 feet,"Concentration, up to 1 hour",,,,,,,,,,,,,,,1,,,,,"You create an invisible, magical eye within range that hovers in the for the duration.

You mentally recieve visual information from the eye, which has normal vision and darkvision out to **30 feet**. The eye can look in every direction.

As an action, you can move the eye up to **30 feet** in any direction. There is no limit to how far away from you the eye can move, but it can't enter another plane of existence. A solid barrier blocks the eye's movement, but the eye can pass through an opening as small as 1 inch in diameter.",,TRUE,TRUE,TRUE,a bit of bat fur,wizard,,,,,,,wizard,level4,,,,,,
Arcane Gate,6,conjuration,FALSE,1 action,500 feet,"Concentration, up to 10 minutes",,,,,,,,,,,,,,,1,,,,,"You create linked teleportation portals that remain open for the duration. Choose two points on the ground that you can see, one point within **10 feet** of you and one point within **500 feet** of you. A circular portal, **10 feet** in diameter, opens over each point. If the portal would open in the space occupied by a creature, the spell fails, and the casting is lost.

The portals are two-dimensional glowing rings filled with mist, hovering inches from the ground and perpendicular to it at the points you choose. A ring is visible only from one side (your choice), which is the side that functions as a portal.

Any creature or object entering the portal exits from the other portal as if the two were adjacent to each other; passing through a portal from the nonportal side has no effect. The mist that fills each portal is opaque and blocks vision through it. On your turn, you can rotate the rings as a **bonus action** so that the active side faces in a different direction.",,FALSE,TRUE,TRUE,,sorcerer,warlock,wizard,,,,,sorcerer,warlock,wizard,level6,,,,
Arcane Lock,2,abjuration,FALSE,1 action,Touch,Until dispelled,,,,,,,,,,,,,,,1,,,,,"You touch a closed door, window, gate, chest, or other entryway, and it becomes locked for the duration. You and the creatures you designate when you cast this spell can open the object normally. You can also set a password that, when spoken within **5 feet** of the object, suppresses this spell for **1 minute**. Otherwise, it is impassable until it is broken or the spell is dispelled or suppressed. Casting knock on the object suppresses arcane lock for **10 minutes**.

While affected by this spell, the object is more difficult to break or force open; the DC to break it or pick any locks on it increases by 10.",,TRUE,TRUE,TRUE,"gold dust w orth at least 25 gp, which the spell consumes",wizard,,,,,,,wizard,level2,,,,,,
Astral Projection,9,necromancy,FALSE,1 hour,10 feet,Special,,,,,,,,,,,,,,,1,,,,,"You and up to eight willing creatures within range project your astral bodies into the Astral Plane (the spell fails and the casting is wasted if you are already on that plane). The material body you leave behind is **unconscious** and in a state of suspended animation; it doesn't need food or air and doesn't age.

Your astral body resembles your mortal form in almost every way, replicating your game statistics and possessions. The principal difference is the addition of a silvery cord that extends from between your shoulder blades and trails behind you, fading to invisibility after 1 foot. This cord is your tether to your material body. As long as the tether remains intact, you can find your way home. If the cord is cut--something that can happen only when an effect specifically states that it does--your soul and body are separated, killing you instantly.

Your astral form can freely travel through the Astral Plane and can pass through portals there leading to any other plane. If you enter a new plane or return to the plane you were on when casting this spell, your body and possessions are transported along the silver cord, allowing you to re-enter your body as you enter the new plane. Your astral form is a separate incarnation. Any damage or other effects that apply to it have no effect on your physical body, nor do they persist when you return to it.

The spell ends for you and your companions when you use your action to dismiss it. When the spell ends, the affected creature returns to its physical body, and it awakens.

The spell might also end early for you or one of your companions. A successful *dispel magic* spell used against an astral or physical body ends the spell for that creature. If a creature's original body or its astral form drops to **0 hit points**, the spell ends for that creature. If the spell ends and the silver cord is intact, the cord pulls the creature's astral form back to its body, ending its state of suspended animation.

If you are returned to your body prematurely, your companions remain in their astral forms and must find their own way back to their bodies, usually by dropping to **0 hit points**.",,TRUE,TRUE,TRUE,"for each creature you affect with this spell you must provide one jacinth worth at least 1,000 gp and one ornately carved bar of silver worth at least 100gp, all of which the spell consumes",cleric,warlock,wizard,,,,,cleric,warlock,wizard,level9,,,,
Augury,2,divination,TRUE,1 minute,Self,Instantaneous,,,,,,,,,,,,,,,1,,,,,"By casting gem-inlaid sticks, rolling dragon bones, laying out ornate cards, or employing some other divining tool, you receive an omen from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes. The DM chooses from the following possible omens:

* **Weal**, for good results

* **Woe**, for bad results

* **Weal and woe**, for both good and bad results

* **Nothing**, for results that aren’t especially good or bad

The spell doesn’t take into account any possible circumstances that might change the outcome, such as the casting of additional spells or the loss or gain of a companion.

If you cast the spell two or more times before completing your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The DM makes this roll in secret.",,TRUE,TRUE,TRUE,"specially marked sticks, bones, or similar tokens worth at least 25 gp",cleric,,,,,,,cleric,level2,,,,,,
Aura of Life,4,abjuration,FALSE,1 action,Self (30-foot radius),"Concentration, up to 10 minutes",,,,,,,,,,,,,,,1,,,,,"Life-preserving energy radiates from you in an aura with a **30-foot** radius. Until the spell ends, the aura moves with you, centered on you. Each nonhostile creature in the aura (including you) has resistance to **necrotic damage**, and its hit point maximum can't be reduced. In addition, a nonhostile, living creature regains 1 hit point when it starts its turn in the aura with **0 hit points**.",,FALSE,FALSE,TRUE,,paladin,,,,,,,paladin,level4,,,,,,
Aura of Purity,4,abjuration,FALSE,1 action,Self (30-foot radius),"Concentration, up to 10 minutes",,,,,,,,,,,,,,,1,,,,,"Purifying energy radiates from you in an aura with a **30-foot** radius. Until the spell ends, the aura moves with you, centered on you. Each nonhostile creature in the aura (including you) can't become diseased, has resistance to **poison damage**, and has **advantage** on saving throws against effects that cause any of the following conditions: **blinded**, **charmed**, **deafened**, **frightened**, **paralyzed**, **poisoned**, and **stunned**.",,FALSE,FALSE,TRUE,,paladin,,,,,,,paladin,level4,,,,,,
Aura Of Vitality,3,evocation,FALSE,1 action,Self (30-foot radius),"Concentration, up to 1 minute",,,,,,,,,,,,,,2d6(healing),1,,,,,"Healing energy radiates from you in an aura with a **30-foot** radius. Until the spell ends, the aura moves with you, centered on you. You can use a **bonus action** to cause one creature in the aura (including you) to regain 2d6 hit points.",,FALSE,FALSE,TRUE,,paladin,,,,,,,paladin,level3,,,,,,
Awaken,5,transmutation,FALSE,8 hours,Touch,Instantaneous,,,,,,,,,,,,,,,1,,,,,"After spending the casting time tracing magical pathways within a precious gemstone, you touch a **Huge** or smaller beast or plant. The target must have either no Intelligence score or an Intelligence of 3 or less. The target gains an Intelligence of 10. The target also gains the ability to speak one language you know. If the target is a plant, it gains the ability to move its limbs, roots, vines, creepers, and so forth, and it gains senses similar to a human's. Your DM chooses statistics appropriate for the awakened plant, such as the statistics for the awakened shrub or the awakened tree.

The awakened beast or plant is **charmed** by you for 30 days or until you or your companions do anything harmful to it. When the **charmed** condition ends, the awakened creature chooses whether to remain friendly to you, based on how you treated it while it was **charmed**.",,TRUE,TRUE,TRUE,"an agate worth at least 1000 gp, which the spell consumes",bard,druid,,,,,,bard,druid,level5,,,,,
Bane,1,enchantment,FALSE,1 action,30 feet,"Concentration, up to 1 minute",,,,,,,,,,,,,,,3,1,1,target,,"Up to {spell_AmmoCount_word} creatures of your choice that you can see within range must make **Charisma** saving throws. Whenever a target that fails this saving throw makes an attack roll or a saving throw before the spell ends, the target must roll a **d4** and subtract the number rolled from the attack roll or saving throw.","When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",TRUE,TRUE,TRUE,a drop of blood,bard,cleric,,,,,,bard,cleric,level1,,,,,
Banishing Smite,5,abjuration,FALSE,1 bonus action,Self,"Concentration, up to 1 minute",,,,,,,,,,,,,,+5d10(force),1,,,,,"The next time you hit a creature with a weapon attack before this spell ends, your weapon crackles with force, and the attack deals an extra **5d10 force damage** to the target. Additionally, if this attack reduces the target to 50 hit points or fewer, you banish it. If the target is native to a different plane of existence than the one you're on, the target disappears, returning to its home plane. If the target is native to the plane you're on, the creature vanishes into a harmless demiplane. While there, the target is **incapacitated**. It remains there until the spell ends, at which point the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.",,FALSE,FALSE,TRUE,,paladin,,,,,,,paladin,level5,,,,,,
Banishment,4,abjuration,FALSE,1 action,60 feet,"Concentration, up to 1 minute",,,,,,,Charisma,,,,,,,,1,4,1,target,,"You attempt to send {spell_AmmoCount_word} {Plural(spell_AmmoCount, ""creature"", ""creatures"")} that you can see within range to another plane of existence. Targets must succeed on a **Charisma** saving throw or be banished.

If the target is native to the plane of existance you're on, you banish the target to a harmless demiplane. While there, the target is **incapacitated**. The target remains there until the spell ends, at which point the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.

If the target is native to a different plane of existance than the one you're on, the target is banished with a faint popping noise, returning to its home plane. If the spell ends before **1 minute** has passed, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. Otherwise, the target doesn't return.","When you cast this spell using a spell slot of 5th level or higher, you can target one additional creature for each slot level above 4th.",TRUE,TRUE,TRUE,an item distasteful to the target,cleric,paladin,sorcerer,warlock,wizard,,,cleric,paladin,sorcerer,warlock,wizard,level4,,
Barkskin,2,transmutation,FALSE,1 action,Touch,"Concentration, up to 1 hour",,,,,,,,,,,,,,,1,,,,,"You touch a willing creature. Until the spell ends, the target’s skin has a rough, bark-like appearance, and the target’s **AC** can’t be less than 16, regardless of what kind of armor it is wearing.",,TRUE,TRUE,TRUE,a handful of oak bark,druid,ranger,,,,,,druid,ranger,level2,,,,,
Beacon of Hope,3,abjuration,FALSE,1 action,30 feet,"Concentration, up to 1 minute",,,,,,,,,,,,,,,1,,,,,"This spell bestows hope and vitality. Choose any number of creatures within range. For the duration, each target has **advantage** on **Wisdom** saving throws and death saving throws, and regains the maximum number of hit points possible from any healing.",,FALSE,TRUE,TRUE,,cleric,,,,,,,cleric,level3,,,,,,
Beast Bond,1,divination,FALSE,1 action,Touch,"Concentration, up to 10 minutes",,,,,,,,,,,,,,,1,,,,,"You establish a telepathic link with one beast you touch that is friendly to you or **charmed** by you. The spell fails if the beast’s Intelligence is 4 or higher. Until the spell ends, the link is active while you and the beast are within line of sight of each other. Through the link, the beast can understand your telepathic messages to it, and it can telepathically communicate simple emotions and concepts back to you. While the link is active, the beast gains **advantage** on attack rolls against any creature within **5 feet** of you that you can see.",,TRUE,TRUE,TRUE,a bit of fur wrapped in a cloth,druid,ranger,,,,,,druid,ranger,level1,,,,,
Beast Sense,2,divination,TRUE,1 action,Touch,"Concentration, up to 1 hour",,,,,,,,,,,,,,,1,,,,,"You touch a willing beast. For the duration of the spell, you can use your action to see through the beast’s eyes and hear what it hears, and continue to do so until you use your action to return to your normal senses.

While perceiving through the beast’s senses, you gain the benefits of any special senses possessed by that creature, though you are **blinded** and **deafened** to your own surroundings.",,FALSE,TRUE,FALSE,,druid,ranger,,,,,,druid,ranger,level2,,,,,
Bestow Curse,3,necromancy,FALSE,1 action,Touch,"Concentration, up to 1 minute",,,,,,,,,,,,,,+1d8(necrotic),1,*,,,,"You touch a creature, and that creature must succeed on a **Wisdom** saving throw or become Cursed for the Duration of the spell. When you cast this spell, choose the nature of the curse from the following options:

* Choose one ability score. While cursed, the target has **disadvantage** on ability checks and saving throws made with that ability score.

* While cursed, the target has **disadvantage** on attack rolls against you.

* While cursed, the target must make a **Wisdom** saving throw at the start of each of its turns. If it fails, it wastes its action that turn doing nothing.

* While the target is cursed, your attacks and spells deal an extra **1d8 necrotic damage** to the target.

A *remove curse* spell ends this effect. At the DM’s option, you may choose an alternative curse effect, but it should be no more powerful than those described above. The DM has final say on such a curse’s effect.","If you cast this spell using a spell slot of 4th level or higher, the duration is concentration, up to 10 minutes. If you use a spell slot of 5th level or higher, the duration is 8 hours. If you use a spell slot of 7th level or higher, the duration is 24 hours. If you use a 9th level spell slot, the spell lasts until it is dispelled. Using a spell slot of 5th level or higher grants a duration that doesn’t require concentration.",FALSE,TRUE,TRUE,,bard,cleric,wizard,,,,,bard,cleric,wizard,level3,,,,
Blade Barrier,6,evocation,FALSE,1 action,90 feet,"Concentration, up to 10 minutes",,,,,,,Dexterity,,,,,,,6d10(slashing),1,,,,,"You create a vertical wall of whirling, razor-sharp blades made of magical energy. The wall appears within range and lasts for the duration. You can make a straight wall up to **100 feet** long, **20 feet** high, and **5 feet** thick, or a ringed wall up to **60 feet** in diameter, **20 feet** high, and **5 feet** thick. The wall provides three-quarters cover to creatures behind it, and its space is difficult terrain.

When a creature enters the wall's area for the first time on a turn or starts its turn there, the creature must make a **Dexterity** saving throw. On a failed save, the creature takes **6d10 slashing damage**. On a successful save, the creature takes half as much damage.",,FALSE,TRUE,TRUE,,cleric,,,,,,,cleric,level6,,,,,,
Blade Ward,cantrip,abjuration,FALSE,1 action,Self,1 round,,,,,,,,,,,,,,,1,,,,,"You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and **slashing damage** dealt by weapon attacks.",,FALSE,TRUE,TRUE,,bard,sorcerer,warlock,wizard,,,,bard,sorcerer,warlock,wizard,cantrip,,,
Bless,1,enchantment,FALSE,1 action,30 feet,"Concentration, up to 1 minute",,,,,,,,,,,,,,,1,,,,,"You bless up to three creatures of your choice within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target can roll a **d4** and add the number rolled to the attack roll or saving throw.",,TRUE,TRUE,TRUE,a sprinkling of holy water,cleric,paladin,,,,,,cleric,paladin,level1,,,,,
Blight,4,necromancy,FALSE,1 action,30 feet,Instantaneous,,,,,,,Constitution,,,,,,,8d8(necrotic),1,4,1d8,damage,,"Necromantic energy washes over a creature of your choice that you can see within range, draining moisture and vitality from it. The target must make a **Constitution** saving throw. The target takes {spell_DieStrRaw} **necrotic damage** on a failed save, or half as much damage on a successful one. The spell has no effect on undead or constructs.

If you target a plant creature or a magical plant, it makes the saving throw with **disadvantage**, and the spell deals maximum damage to it.

If you target a nonmagical plant that isn't a creature, such as a tree or shrub, it doesn't make a saving throw; it simply withers and dies.","When you cast this spell using a spell slot of 5th level of higher, the damage increases by 1d8 for each slot level above 4th.",FALSE,TRUE,TRUE,,druid,sorcerer,warlock,wizard,,,,druid,sorcerer,warlock,wizard,level4,,,
Blinding Smite,3,evocation,FALSE,1 bonus action,Self,"Concentration, up to 1 minute",,,,,,buff,Constitution,,,,,,,+3d8,1,,,,,"The next time you hit a creature with a melee weapon attack during this spell’s duration, your weapon flares with bright light, and the attack deals an extra **3d8 radiant damage** to the target. Additionally, the target must succeed on a **Constitution** saving throw or be **blinded** until the spell ends.

A creature **blinded** by this spell makes another **Constitution** saving throw at the end of each of its turns. On a successful save, it is no longer **blinded**.",,FALSE,FALSE,TRUE,,paladin,,,,,,,paladin,level3,,,,,,
Blindness/Deafness,2,necromancy,FALSE,1 action,30 feet,1 minute,,,,,,,Constitution,,,,,,,,1,1,1,target,,"You can blind or deafen a foe. Choose {spell_AmmoCount_word} {Plural(spell_AmmoCount, ""creature"", ""creatures"")} that you can see within range to make a **Constitution** saving throw. If it fails, the target is either **blinded** or **deafened** (your choice) for the duration. At the end of each of its turns, the target can make a **Constitution** saving throw. On a success, the spell ends.","When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd.",FALSE,FALSE,TRUE,,bard,cleric,sorcerer,wizard,,,,bard,cleric,sorcerer,wizard,level2,,,
